Date,i.diff.GBP,L.GBP,i.diff.SEK,L.SEK,i.diff.ZAR,L.ZAR,i.diff.NZD,L.NZD,i.diff.CAD,L.CAD,i.diff.FRF,L.FRF,i.diff.BEF,L.BEF,i.diff.HKD,L.HKD,i.diff.ESP,L.ESP,i.diff.HUF,L.HUF,i.diff.MXN,L.MXN,i.diff.KES,L.KES,i.diff.JPY,L.JPY,i.diff.ILS,L.ILS,i.diff.LKR,L.LKR,i.diff.AUD,L.AUD,i.diff.DEU,L.DEU,i.diff.DKK,L.DKK,i.diff.ITL,L.ITL,i.diff.CHF,L.CHF,i.diff.COP,L.COP,i.diff.NOK,L.NOK,i.diff.KRW,L.KRW,i.diff.NLG,L.NLG,i.diff.RUB,L.RUB
2000M02,0.0013,-2.681498292,-0.01901,-4.27186521,0.0398,-1.147635164,0.0012,-2.024581335,-0.0084,-2.286285977,-0.0247,-4.643725321,-0.0228,-4.453725321,-0.0013,-0.191636852,-0.0244,-4.613725321,0.049,0.425047861,0.1064,10.26586438,0.09044,6.93428789,-0.0575,-4.80491461,0.0392,1.99834458,0.0555,4.773347089,0,-3.335080577,-0.022632,-4.436925321,-0.018668,-4.118021424,-0.022632,-4.436925321,-0.0335833,-4.256404321,0.0441,0.53409505,0.0009,-3.404594276,0.0133,1.393398847,-0.022632,-4.436925321,0.12,12.71645328
2000M03,0.0005,-2.135724931,-0.018152,-6.355042266,0.0397,0.714940182,0.003,-1.651893438,-0.0061,-1.143993321,-0.0229,-3.330285726,-0.0216,-3.200285726,-0.0016,-0.209291187,-0.0222,-3.260285726,0.0462,3.33349573,0.0858,5.942291446,0.0539825,3.468220243,-0.05765,-7.329617362,0.0325,2.662098067,0.0565,2.506499089,1.00E-04,-0.780401285,-0.02133,-3.173285726,-0.016952,-2.793192543,-0.02133,-3.173285726,-0.03025,-2.777502838,0.0502,0.869444874,0.0012,-1.506086258,0.0112,0.855355927,-0.02133,-3.173285726,0.0882,9.151954278
2000M04,0.0024,-2.025277659,-0.018239,-5.920302557,0.0407,2.198543297,0.00488,-3.037289023,-0.0038,-0.696462302,-0.0211,-0.964377624,-0.019,-0.754377624,0.005,0.438402697,-0.0206,-0.914377624,0.0499,4.270270051,0.0856,8.287947655,0.0663225,6.821507072,-0.05751,-6.500160854,0.0305,2.412347668,0.0561,2.871410233,0.0023,0.295372172,-0.018847,-0.739077624,-0.014829,-0.335511794,-0.018847,-0.739077624,-0.0256667,-0.756734294,0.056,1.680050382,0.0042,1.21770726,0.0125,1.077449669,-0.018847,-0.739077624,0.0769,8.886791388
2000M05,0.004,-0.256015149,-0.0168,-4.540532068,0.0458,5.139426938,0.01138,-1.197282936,0.0003,0.433951224,-0.0144,-2.955977163,-0.0132,-2.835977163,0.01,0.963054802,-0.0136,-2.875977163,0.0516,4.78360092,0.0994,11.11560863,0.055822,5.019848824,-0.05603,-5.119146357,0.0366,5.713727546,0.0616,4.059340846,0.0067,0.69927055,-0.01278,-2.793977163,-0.009401,-2.445160561,-0.01278,-2.793977163,-0.0248,-3.260772492,0.0608,3.971593391,0.0086,0.684354211,0.015,2.395187016,-0.01278,-2.793977163,0.0526,6.227858292
2000M06,0.0006,-2.453134957,-0.019284,3.256722617,0.0441,2.752800507,0.0072,-5.031333985,-0.0034,-0.615218662,-0.0156,-4.836823103,-0.0146,-4.736823103,0.0034,0.327684587,-0.0148,-4.756823103,0.0493,0.272890563,0.1074,13.09474069,0.04604,3.970676652,-0.05778,-6.566688485,0.0353,3.756970872,0.0634,5.914618823,0.0036,-3.853028741,-0.013683,-4.645123103,-0.006938,-4.017850132,-0.013683,-4.645123103,-0.0247333,-5.028048357,0.0613,4.446551335,0.0085,-1.528240745,0.013,1.459119041,-0.013683,-4.645123103,0.0633,6.912759257
2000M07,-0.0027,-2.121677122,-0.021726,5.623625013,0.0403,0.074884441,0.00393,-6.25326637,-0.0059,-1.678532662,-0.0194,-6.917776833,-0.0173,-6.707776833,-0.0026,-0.266155776,-0.01888,-6.865776833,0.044,-0.670932681,0.0842,7.993059431,0.037044,0.723267416,-0.06028,-5.795431211,0.0296,2.13447952,0.0623,5.60538516,0,-5.534049039,-0.016171,-6.594876833,-0.004245,-5.316881827,-0.016171,-6.594876833,-0.0276,-6.670885091,0.06,6.343032863,0.0071,-2.617948679,0.0095,0.012728556,-0.016171,-6.594876833,0.029,2.789515666
2000M08,-0.004,-2.396490815,-0.02298,3.194299057,0.0385,-0.872502848,0.00287,-5.083859008,-0.0072,-2.633576713,-0.0162,-4.384548166,-0.0162,-4.384548166,-0.0028,-0.286154986,-0.01743,-4.507548166,0.043,0.932726408,0.0941,8.221860536,0.0294525,1.911108268,-0.05974,-7.854089445,0.0268,1.849066314,0.0645,4.702365692,0.0019,-3.971509822,-0.015229,-4.287448166,-0.006425,-3.397430637,-0.015229,-4.287448166,-0.0281333,-4.65517699,0.0618,7.115650356,0.0082,-1.454304184,0.0074,-2.313975846,-0.015229,-4.287448166,0.033,3.039324906
2000M09,-0.0036,0.725652953,-0.022652,-4.770779889,0.0395,0.846408254,0.0034,1.790987311,-0.0065,-1.837351356,-0.0141,1.103693091,-0.0149,1.023693091,-0.002,-0.2,-0.0151,1.003693091,0.0449,5.460539578,0.0994,9.333093978,0.0415025,4.733157184,-0.05864,-8.641953966,0.0296,3.089828854,0.074,5.708468862,0.0036,1.052515122,-0.013572,1.156493091,-0.001083,2.432166938,-0.013572,1.156493091,-0.02625,-0.098033858,0.0673,6.41698558,0.0112,2.385201574,0.0084,-4.953879482,-0.013572,1.156493091,0.0519,4.096065048
2000M10,-0.0056,0.289996384,-0.023823,-8.471598527,0.0382,1.900182727,0.00218,5.169878814,-0.0076,-0.468025882,-0.0145,3.179924992,-0.0146,3.169924992,-0.0058,-0.58,-0.0168,2.949924992,0.0473,8.881190765,0.1069,9.522013827,0.042836,4.729503612,-0.06006,-9.077865917,0.0244,2.56710969,0.095,4.352283447,0.0004,1.914438794,-0.013287,3.301224992,-0.00817,3.675456743,-0.013287,3.301224992,-0.0287833,1.409850825,0.0658,4.882089271,0.0115,4.1083797,0.0067,-5.033641535,-0.013287,3.301224992,0.0293,1.991595248
2000M11,-0.0047,0.356461291,-0.0221,-6.680274366,0.0401,3.153602853,0.00385,4.546920843,-0.0059,0.023649941,-0.0121,2.398440888,-0.0137,2.238440888,-0.0056,-0.56,-0.0134,2.268440888,0.0559,8.904268523,0.118,10.82855639,0.0495725,5.701716404,-0.05826,-8.489748768,0.0232,1.970539048,0.1144,8.268572234,0.0012,0.074375006,-0.01118,2.490440888,-0.007139,2.835630777,-0.01118,2.490440888,-0.0273167,0.03865646,0.0687,4.802027349,0.0122,3.52664716,0.0078,-1.656047962,-0.01118,2.490440888,0.0269,1.180520373
